genes	logFC_W_vs_G	logCPM_W_vs_G	PValue_W_vs_G	FDR_W_vs_G	Annotation	logFC_R_vs_G	logCPM_R_vs_G	PValue_R_vs_G	FDR_R_vs_G
LOC105191040	-9.456765162	8.628889075	2.19e-73	2.78e-69	fatty acid synthase	NA	NA	NA	NA
LOC105191801	-8.094335466	9.139216588	5.17e-53	1.31e-49	acyl-CoA Delta(11) desaturase	-7.277787538	9.142354539	1.14e-36	2.4e-33
LOC105190430	-8.367140698	6.540988441	4.81e-51	8.69e-48	acyl-CoA Delta(11) desaturase	-8.864538293	6.535724159	3.21e-39	1.02e-35
LOC105182047	-7.854964115	2.994825603	3.41e-23	1.72e-20	elongation of very long chain fatty acids protein AAEL008004	-6.689553857	2.965088546	1.98e-19	1.93e-16
LOC105182544	-5.977818543	8.298166612	5.84e-16	1.23e-13	fatty acid synthase	NA	NA	NA	NA
LOC105185296	-4.198066179	1.128839531	8.87e-10	3.88e-08	elongation of very long chain fatty acids protein 7	-3.813466861	1.064069175	3.72e-07	1.34e-05
LOC112590320	-4.002081044	7.11116779	4.16e-09	1.47e-07	fatty acid synthase-like isoform X1	-4.272345976	7.093794899	8.17e-08	3.84e-06
LOC105180907	-3.99695703	6.081664989	5.51e-09	1.89e-07	acyl-CoA Delta(11) desaturase isoform X2	-4.608541727	6.047452582	1.01e-09	1.03e-07
LOC105185168	-1.964630207	9.512214464	7.84e-05	0.000534122	fatty acid synthase	NA	NA	NA	NA
LOC112590305	-4.139109887	0.572871386	0.000159742	0.000938866	fatty acid synthase-like	-3.561176815	0.473004277	0.00011637	0.001261819
LOC105186441	-2.84604426	7.234704408	0.000330967	0.00163724	fatty acid synthase-like	-8.216427665	7.049460252	1.29e-41	5.43e-38
LOC105180672	-2.986760885	9.588792606	0.000689625	0.002880991	fatty acid synthase	-7.38280988	9.425561419	2.33e-21	2.95e-18
LOC112590548	-3.712446218	-0.299014447	0.002010479	0.006673819	elongation of very long chain fatty acids protein AAEL008004-like	NA	NA	NA	NA
LOC112588737	NA	NA	NA	NA	fatty acid synthase-like	-9.051801602	7.089968706	1.36e-43	1.72e-39
LOC112590175	NA	NA	NA	NA	fatty acid synthase-like	-5.271302167	5.619429552	9.93e-09	7.09e-07
LOC105183865	NA	NA	NA	NA	fatty acid synthase-like isoform X1	-3.836274833	5.241728363	1.31e-08	8.72e-07
LOC105191892	NA	NA	NA	NA	LOW QUALITY PROTEIN: fatty acid synthase-like	-2.843582067	8.003735669	0.000152678	0.001527263
